"row","gap","time","evaluations","avg.eval"
"452","64",120.741574,212992,1764.0319977939
"453","64",109.383874,180224,1647.6286074856
"454","64",63.948988,114688,1793.42947538122
"455","64",126.130003,212992,1688.67037924355
"456","64",207.631719,327680,1578.17891013078
"457","64",94.454658,163840,1734.58888602402
"458","64",105.639039,180224,1706.0359664953
"459","64",150.910238,245760,1628.51774178502
"460","64",87.884058,147456,1677.84696514583
"461","64",106.860695,180224,1686.53217162774
"462","64",172.122815,278528,1618.19338127836
"463","64",128.475971,212992,1657.83530057928
"464","64",107.720184,180224,1673.07549344698
"465","64",146.360976,245760,1679.13611070754
"466","64",77.032931,131072,1701.5060740711
"467","64",141.140852,229376,1625.15669099121
"468","64",115.819034,196608,1697.54480943089
"469","64",103.206908,163840,1587.49063580124
"470","64",127.153237,212992,1675.08122502615
"471","64",72.470513,114688,1582.5470974657
"472","64",97.394293,163840,1682.23409147803
"473","64",80.29405,131072,1632.39991008051
"474","64",126.065613,212992,1689.53289427149
"475","64",105.869762,180224,1702.3179857531
"476","64",87.969797,147456,1676.21166614719
"477","64",74.686577,131072,1754.96060021602
"478","64",122.601267,212992,1737.27405280404
"479","64",176.863991,278528,1574.81462690729
"480","64",140.734327,229376,1629.85111656519
"481","64",161.469223,262144,1623.49205086594
"482","64",96.230006,163840,1702.5874445025
"483","64",142.57824,229376,1608.7728393898
"484","64",71.272032,114688,1609.15855464876
"485","64",160.675974,262144,1631.50714742205
"486","64",155.730695,245760,1578.10892708082
"487","64",193.756739,311296,1606.63315044748
"488","64",115.686688,196608,1699.48680698682
"489","64",174.626114,278528,1594.99626728222
"490","64",124.259181,212992,1714.0946712018
"491","64",83.375049,147456,1768.58666673767
"492","64",87.640589,147456,1682.50808994449
"493","64",80.804323,131072,1622.0914319151
"494","64",96.822573,163840,1692.1673833229
"495","64",107.251399,180224,1680.38833693908
"496","64",104.037196,180224,1732.30351190934
"497","64",105.327089,180224,1711.08877793062
"498","64",73.192765,114688,1566.93082984363
"499","64",112.507431,180224,1601.88530124735
"500","64",114.417502,180224,1575.14363493096
"501","64",115.991353,196608,1695.02290399182
